unix,date,symbol,open,high,low,close,Volume NEO,Volume USDT,tradecount
1.57628E+12,14-12-2019 00:00,NEO/USDT,8.909,9.171,8.66,8.804,238954.101,2129721.461,5774
1.5762E+12,13-12-2019 00:00,NEO/USDT,8.644,9.128,8.565,8.894,258105.483,2297478.577,5843
1.57611E+12,12-12-2019 00:00,NEO/USDT,8.538,8.662,8.299,8.644,100800.194,853136.248,3309
1.57602E+12,11-12-2019 00:00,NEO/USDT,8.536,8.641,8.415,8.537,101559.348,865431.7129,2919
1.57594E+12,10-12-2019 00:00,NEO/USDT,8.718,8.76,8.425,8.535,181756.603,1566124.655,4484
1.57585E+12,09-12-2019 00:00,NEO/USDT,9.024,9.087,8.63,8.721,209713.597,1868136.664,4915
1.57576E+12,08-12-2019 00:00,NEO/USDT,8.907,9.123,8.75,9.031,179510.672,1606994.533,4791
1.57568E+12,07-12-2019 00:00,NEO/USDT,8.746,9.191,8.73,8.911,310171.284,2801676.673,7246
1.57559E+12,06-12-2019 00:00,NEO/USDT,8.728,8.84,8.599,8.746,139257.866,1212283.029,3821
1.5755E+12,05-12-2019 00:00,NEO/USDT,8.615,8.81,8.444,8.731,209144.862,1804732.215,5758
1.57542E+12,04-12-2019 00:00,NEO/USDT,8.951,9.256,8.552,8.6,333686.691,2939755.213,7848
1.57533E+12,03-12-2019 00:00,NEO/USDT,8.95,9.116,8.84,8.937,186507.881,1676492.402,4811
1.57524E+12,02-12-2019 00:00,NEO/USDT,9.257,9.29,8.807,8.937,253359.965,2280626.041,6129
1.57516E+12,01-12-2019 00:00,NEO/USDT,9.312,9.525,8.901,9.246,270843.419,2492041.652,6679
1.57507E+12,30-11-2019 00:00,NEO/USDT,9.723,9.801,9.17,9.316,321124.038,3033821.07,7279
1.57499E+12,29-11-2019 00:00,NEO/USDT,9.28,9.946,9.236,9.705,313449.355,3022123.874,7256
1.5749E+12,28-11-2019 00:00,NEO/USDT,9.45,9.59,9.17,9.264,259786.692,2453723.639,6642
1.57481E+12,27-11-2019 00:00,NEO/USDT,9.262,9.731,8.701,9.452,515571.126,4775833.054,11078
1.57473E+12,26-11-2019 00:00,NEO/USDT,9.06,9.399,8.902,9.27,343016.446,3131516.578,8303
1.57464E+12,25-11-2019 00:00,NEO/USDT,8.983,9.55,8.307,9.06,757419.837,6777967.596,16615
1.57455E+12,24-11-2019 00:00,NEO/USDT,10.008,10.019,8.888,8.971,562582.907,5300875.178,12215
1.57447E+12,23-11-2019 00:00,NEO/USDT,9.65,10.175,9.425,10.003,557568.023,5458147.133,12893
1.57438E+12,22-11-2019 00:00,NEO/USDT,11.046,11.198,9.26,9.671,952331.843,9558598.664,22762
1.57429E+12,21-11-2019 00:00,NEO/USDT,11.501,11.571,10.575,11.05,637389.81,7084098.104,18359
