unix,date,symbol,open,high,low,close,Volume XLM,Volume USDT,tradecount
1.55822E+12,19-05-2019 00:00,XLM/USDT,0.13128,0.14529,0.12963,0.14264,69092476.4,9625534.095,43993
1.55814E+12,18-05-2019 00:00,XLM/USDT,0.13075,0.14126,0.12841,0.13129,79404323.1,10604127.45,48983
1.55805E+12,17-05-2019 00:00,XLM/USDT,0.13784,0.14059,0.11555,0.13084,132248326.9,16519599.12,79488
1.55796E+12,16-05-2019 00:00,XLM/USDT,0.14146,0.16247,0.13068,0.13805,215760241,31425648.75,125873
1.55788E+12,15-05-2019 00:00,XLM/USDT,0.11343,0.14158,0.11303,0.14126,80091870.5,10177309.98,45037
1.55779E+12,14-05-2019 00:00,XLM/USDT,0.09972,0.117,0.0986,0.11338,101456474.3,11228965.31,51383
1.55771E+12,13-05-2019 00:00,XLM/USDT,0.09823,0.1034,0.0978,0.09951,44373051.9,4466639.891,22948
1.55762E+12,12-05-2019 00:00,XLM/USDT,0.10272,0.10536,0.0947,0.09823,48822098.1,4897750.469,29263
1.55753E+12,11-05-2019 00:00,XLM/USDT,0.0924,0.10649,0.09217,0.10273,52269422.1,5179272.781,32220
1.55745E+12,10-05-2019 00:00,XLM/USDT,0.08885,0.09319,0.08771,0.09238,22846747.9,2089258.123,16982
1.55736E+12,09-05-2019 00:00,XLM/USDT,0.09222,0.09338,0.087,0.08883,26540714.3,2388956.256,20261
1.55727E+12,08-05-2019 00:00,XLM/USDT,0.09354,0.09361,0.09142,0.09216,23718212.9,2195099.531,17201
1.55719E+12,07-05-2019 00:00,XLM/USDT,0.09724,0.09966,0.09327,0.0933,29132917,2804683.369,20336
1.5571E+12,06-05-2019 00:00,XLM/USDT,0.09699,0.09934,0.09288,0.09718,21114112,2031574.693,14716
1.55701E+12,05-05-2019 00:00,XLM/USDT,0.09857,0.09995,0.09648,0.097,16425607.7,1609506.238,12629
1.55693E+12,04-05-2019 00:00,XLM/USDT,0.10225,0.10455,0.09579,0.09856,27071812,2700725.206,18143
1.55684E+12,03-05-2019 00:00,XLM/USDT,0.0997,0.10321,0.09822,0.10224,39920676.4,4048838.173,23620
1.55676E+12,02-05-2019 00:00,XLM/USDT,0.10105,0.102,0.09958,0.09974,15002710.2,1510305.485,11505
1.55667E+12,01-05-2019 00:00,XLM/USDT,0.10071,0.10317,0.1,0.10106,23344989.9,2366744.071,17608
1.55658E+12,30-04-2019 00:00,XLM/USDT,0.09554,0.10071,0.09484,0.10061,16727611.4,1646419.985,15354
1.5565E+12,29-04-2019 00:00,XLM/USDT,0.09851,0.1,0.09453,0.09551,15275129,1484191.412,14861
1.55641E+12,28-04-2019 00:00,XLM/USDT,0.10037,0.10156,0.09792,0.0985,9380131.4,936361.1924,10348
1.55632E+12,27-04-2019 00:00,XLM/USDT,0.09993,0.10197,0.09868,0.10037,16169155.8,1620103.937,17018
1.55624E+12,26-04-2019 00:00,XLM/USDT,0.09859,0.10385,0.09651,0.09993,28564244.2,2847218.095,27592
1.55615E+12,25-04-2019 00:00,XLM/USDT,0.10229,0.1055,0.09588,0.09854,31756726.2,3230232.893,28179
1.55606E+12,24-04-2019 00:00,XLM/USDT,0.10859,0.10897,0.09834,0.10232,36446642.6,3730894.539,31283
1.55598E+12,23-04-2019 00:00,XLM/USDT,0.1123,0.11319,0.10859,0.10867,20458403.7,2273350.197,15840
1.55589E+12,22-04-2019 00:00,XLM/USDT,0.11098,0.11433,0.10837,0.11229,19990919.3,2237164.913,16000
1.5558E+12,21-04-2019 00:00,XLM/USDT,0.11524,0.11564,0.1074,0.11095,23282196.8,2575683.528,17413
1.55572E+12,20-04-2019 00:00,XLM/USDT,0.11488,0.1176,0.113,0.11526,12213724.3,1409542.164,11438
1.55563E+12,19-04-2019 00:00,XLM/USDT,0.1172,0.11743,0.114,0.11486,17069004.5,1969101.892,13651
1.55555E+12,18-04-2019 00:00,XLM/USDT,0.11666,0.11958,0.11569,0.11732,23059166.1,2706247.613,16857
1.55546E+12,17-04-2019 00:00,XLM/USDT,0.11419,0.11697,0.11323,0.11667,17638728.6,2029306.344,14437
1.55537E+12,16-04-2019 00:00,XLM/USDT,0.11235,0.11545,0.1103,0.11423,17408672.9,1967807.828,14674
1.55529E+12,15-04-2019 00:00,XLM/USDT,0.11734,0.11917,0.11002,0.11237,24496182.3,2816571.327,18816
1.5552E+12,14-04-2019 00:00,XLM/USDT,0.11495,0.11829,0.11287,0.1172,19567686.2,2261808.067,15370
