unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT,tradecount
1.56565E+12,13-08-2019 00:00,XRP/USDT,0.3006,0.30129,0.29295,0.298,32483448.9,9634244.27,48492
1.56557E+12,12-08-2019 00:00,XRP/USDT,0.30316,0.30536,0.298,0.3006,26440605.7,7958806.063,40292
1.56548E+12,11-08-2019 00:00,XRP/USDT,0.29907,0.30605,0.29501,0.30316,36131805.2,10872100.39,49872
1.5654E+12,10-08-2019 00:00,XRP/USDT,0.2965,0.30562,0.29237,0.29918,58253124,17414209.87,64260
1.56531E+12,09-08-2019 00:00,XRP/USDT,0.30823,0.30921,0.2901,0.29649,57778056.4,17288289.04,67592
1.56522E+12,08-08-2019 00:00,XRP/USDT,0.31093,0.31204,0.30452,0.30825,57294619.1,17625369.38,65386
1.56514E+12,07-08-2019 00:00,XRP/USDT,0.3116,0.31688,0.30694,0.31109,60660819,18897622.56,71918
1.56505E+12,06-08-2019 00:00,XRP/USDT,0.32232,0.32421,0.308,0.3116,73359257.9,23246485.48,74937
1.56496E+12,05-08-2019 00:00,XRP/USDT,0.31823,0.331,0.31798,0.32242,86161482,27896049.92,84676
1.56488E+12,04-08-2019 00:00,XRP/USDT,0.31595,0.32298,0.31181,0.31813,52990179.1,16836080.92,57848
1.56479E+12,03-08-2019 00:00,XRP/USDT,0.3117,0.31747,0.31091,0.31596,39924755.2,12570636.58,52161
1.5647E+12,02-08-2019 00:00,XRP/USDT,0.31554,0.31785,0.30836,0.31178,43108296.3,13509244.26,52619
1.56462E+12,01-08-2019 00:00,XRP/USDT,0.3195,0.3199,0.3114,0.31575,46026847.5,14465865.36,58206
1.56453E+12,31-07-2019 00:00,XRP/USDT,0.31811,0.32348,0.3151,0.31959,48948448.5,15611152.43,60737
1.56444E+12,30-07-2019 00:00,XRP/USDT,0.31004,0.32213,0.30665,0.31823,52340164.1,16493828.11,59940
1.56436E+12,29-07-2019 00:00,XRP/USDT,0.31217,0.31478,0.306,0.31004,39176999,12160589.27,54550
1.56427E+12,28-07-2019 00:00,XRP/USDT,0.30966,0.31478,0.3,0.31218,42792457.7,13205456.19,54388
1.56419E+12,27-07-2019 00:00,XRP/USDT,0.32303,0.32621,0.3054,0.30965,64056737.5,20077776.26,75595
1.5641E+12,26-07-2019 00:00,XRP/USDT,0.31332,0.32514,0.307,0.32303,55029583.8,17390073.67,62846
1.56401E+12,25-07-2019 00:00,XRP/USDT,0.31547,0.323,0.31117,0.31335,54892791.7,17408784.04,66454
1.56393E+12,24-07-2019 00:00,XRP/USDT,0.30877,0.31905,0.30251,0.31548,67739907.8,21031280.79,78839
1.56384E+12,23-07-2019 00:00,XRP/USDT,0.32135,0.32135,0.30572,0.30891,63905860.1,19990194.79,76827
1.56375E+12,22-07-2019 00:00,XRP/USDT,0.33059,0.33259,0.3157,0.32111,64393272.5,20794379.39,73334
1.56367E+12,21-07-2019 00:00,XRP/USDT,0.33269,0.33501,0.32053,0.33075,64040258.2,20985358.45,75857
1.56358E+12,20-07-2019 00:00,XRP/USDT,0.3187,0.34094,0.31818,0.33279,84000903.4,27729535.56,90591
1.56349E+12,19-07-2019 00:00,XRP/USDT,0.32035,0.32215,0.30959,0.3188,68682413.2,21723291.88,90742
